#PeakID	chr	start	end	strand	Normalized Tag Count	focus ratio	findPeaks Score	Fold Change vs Local	p-value vs Local	Clonal Fold Change
chr1-1599	chr1	132341712	132342212	+	87.1	0.768	290.0	7.57	1.4400000000000002e-181	1.15
chr1-1445	chr1	153102524	153103024	+	87.1	0.678	317.0	6.17	1.63e-154	1.05
chr1-1568	chr1	156420522	156421022	+	87.1	0.756	295.0	43.26	0.0	1.32
chr2-1656	chr2	31042841	31043341	+	87.1	0.771	303.5	28.32	0.0	1.15
chr2-1574	chr2	118926287	118926787	+	87.1	0.687	318.0	49.99	0.0	1.03
chr3-1249	chr3	31023636	31024136	+	87.1	0.557	281.0	7.79	1.48e-185	1.28
chr4-1443	chr4	6190797	6191297	+	87.1	0.793	295.5	170.33	0.0	1.18
chr4-2664	chr4	63410146	63410646	+	87.1	0.657	155.5	7.66	3.3e-183	1.1
chr4-1309	chr4	64083829	64084329	+	87.1	0.772	323.0	7.82	5.67e-186	1.04
chr1-3200	chr1	14781337	14781837	+	87.1	0.781	144.5	29.75	0.0	1.12
chr4-1300	chr4	137783875	137784375	+	87.1	0.694	324.5	37.38	0.0	1.07
chr6-1143	chr6	112909726	112910226	+	87.1	0.751	308.0	15.3	2.13e-280	1.08
chr7-4684	chr7	16738144	16738644	+	87.1	0.767	67.5	48.68	0.0	1.23
chr7-3207	chr7	110002921	110003421	+	87.1	0.792	110.0	12.97	1.43e-256	1.2
chr7-1172	chr7	118503797	118504297	+	87.1	0.743	317.5	8.78	9.36e-202	1.04
chr7-4079	chr7	127260458	127260958	+	87.1	0.69	82.0	10.73	1.22e-229	1.47
chr9-5514	chr9	21723300	21723800	+	87.1	0.707	59.5	8.6	6.8999999999999995e-199	1.5
chr9-1302	chr9	59245116	59245616	+	87.1	0.758	297.5	51.22	0.0	1.16
chr9-1351	chr9	119089384	119089884	+	87.1	0.801	287.5	12.21	6.220000000000001e-248	1.26
chr6-1189	chr6	47830333	47830833	+	87.1	0.721	293.5	7.2	6.26e-175	1.14
chr12-874	chr12	70111770	70112270	+	86.9	0.673	312.5	24.23	0.0	1.08
chr13-976	chr13	114735036	114735536	+	86.9	0.767	303.5	35.52	0.0	1.11
chr13-919	chr13	90230508	90231008	+	86.9	0.71	315.5	69.89	0.0	1.04
chr13-923	chr13	59875559	59876059	+	86.9	0.719	314.0	16.59	3.8600000000000004e-291	1.03
chr10-1225	chr10	107628010	107628510	+	86.9	0.787	280.0	22.88	0.0	1.19
chr11-1678	chr11	82011677	82012177	+	86.9	0.711	323.0	8.78	4.39e-201	1.08
chr11-1730	chr11	76493829	76494329	+	86.9	0.666	314.5	5.78	1.5e-145	1.06
chr11-5742	chr11	71995834	71996334	+	86.9	0.808	81.0	22.4	0.0	1.29
chr14-805	chr14	61737461	61737961	+	86.9	0.782	300.5	45.1	0.0	1.15
chr14-867	chr14	45746135	45746635	+	86.9	0.707	283.0	45.22	0.0	1.23
chr17-5126	chr17	24886197	24886697	+	86.9	0.726	48.0	9.6	2.43e-213	1.67
chr9-1381	chr9	96363546	96364046	+	86.9	0.682	282.5	18.01	4.3800000000000006e-303	1.21
chr14-714	chr14	70329964	70330464	+	86.9	0.725	332.5	9.18	4.1e-207	0.97
chr15-5775	chr15	95370644	95371144	+	86.9	0.658	56.5	33.5	0.0	1.23
chr15-3450	chr15	101973696	101974196	+	86.9	0.755	105.0	8.7	7.310000000000001e-200	1.4
chr18-3998	chr18	36801492	36801992	+	86.9	0.714	46.0	16.63	1.63e-291	1.62
chr19-747	chr19	32319605	32320105	+	86.9	0.738	311.0	12.97	1.22e-255	1.06
chr19-737	chr19	43752741	43753241	+	86.9	0.671	315.5	45.75	0.0	1.02
chr19-766	chr19	60945982	60946482	+	86.9	0.781	304.0	36.31	0.0	1.14
chrX-1450	chrX	101332339	101332839	+	86.9	0.73	72.5	40.02	0.0	1.45
chr9-1200	chr9	117571073	117571573	+	86.9	0.721	318.5	102.9	0.0	1.04
chr3-4813	chr3	53201559	53202059	+	86.9	0.771	63.5	20.85	0.0	1.32
chr9-1407	chr9	31176357	31176857	+	86.9	0.774	278.5	49.29	0.0	1.28
chr3-1060	chr3	52576772	52577272	+	86.9	0.675	314.0	18.34	8.56e-306	1.08
chr9-1333	chr9	8042580	8043080	+	86.9	0.799	291.5	123.84	0.0	1.18
chr1-1512	chr1	14781337	14781837	+	86.9	0.779	304.5	29.7	0.0	1.12
chr1-1404	chr1	92831499	92831999	+	86.9	0.569	323.5	7.37	2.3200000000000002e-177	0.97
chr2-1613	chr2	50690425	50690925	+	86.9	0.706	312.0	44.09	0.0	1.09
chr2-4091	chr2	59599653	59600153	+	86.9	0.715	115.5	8.21	7.860000000000001e-192	1.38
chr2-4228	chr2	138256306	138256806	+	86.9	0.734	111.0	122.12	0.0	1.22
chr3-1232	chr3	38232423	38232923	+	86.9	0.781	284.0	12.63	6.050000000000001e-252	1.19
chr3-1094	chr3	39269356	39269856	+	86.9	0.754	307.5	156.86	0.0	1.11
chr2-1659	chr2	115581410	115581910	+	86.9	0.783	303.0	26.39	0.0	1.13
chr3-2415	chr3	97937643	97938143	+	86.9	0.694	141.5	9.32	3.03e-209	1.26
chr4-1499	chr4	123718049	123718549	+	86.9	0.777	286.0	62.74	0.0	1.23
chr4-1391	chr4	129868181	129868681	+	86.9	0.765	305.0	34.53	0.0	1.12
chr4-1462	chr4	141031611	141032111	+	86.9	0.793	292.5	21.06	0.0	1.23
chr6-6802	chr6	114921583	114922083	+	86.9	0.781	42.5	18.84	1e-309	1.38
chr6-7148	chr6	143844362	143844862	+	86.9	0.719	40.5	33.34	0.0	1.44
chr7-1232	chr7	17027575	17028075	+	86.9	0.692	305.5	26.7	0.0	1.15
chr7-4165	chr7	51749707	51750207	+	86.9	0.677	79.5	39.32	0.0	1.17
chr4-2643	chr4	15213065	15213565	+	86.9	0.713	157.0	67.48	0.0	1.08
chr11-1728	chr11	119799527	119800027	+	86.8	0.696	315.0	4.78	8.13e-122	1.11
chr13-5987	chr13	90981196	90981696	+	86.8	0.71	43.0	18.73	4.62e-309	1.4
chr13-1053	chr13	85359094	85359594	+	86.8	0.694	289.0	59.74	0.0	1.23
chr13-4116	chr13	28873864	28874364	+	86.8	0.744	67.0	22.1	0.0	1.34
chr12-2554	chr12	70136030	70136530	+	86.8	0.705	95.5	27.58	0.0	1.11
chr11-1752	chr11	97799422	97799922	+	86.8	0.623	311.5	7.03	3.22e-171	1.12
chr11-1643	chr11	119402301	119402801	+	86.8	0.565	329.5	19.79	3.77e-317	0.98
chr11-1603	chr11	102316502	102317002	+	86.8	0.675	336.5	6.33	2.1100000000000003e-157	0.97
chr11-1858	chr11	97825254	97825754	+	86.8	0.757	296.5	8.58	5.2900000000000005e-198	1.19
chr14-773	chr14	25760007	25760507	+	86.8	0.529	310.5	4.81	1.2900000000000002e-122	1.11
chr13-1877	chr13	102674072	102674572	+	86.8	0.803	172.5	13.17	4.48e-258	1.21
chrX-307	chrX	57392803	57393303	+	86.8	0.634	322.0	97.36	0.0	1.04
chr14-2688	chr14	45783928	45784428	+	86.8	0.634	77.5	8.1	2.91e-190	1.43
chr16-685	chr16	45810741	45811241	+	86.8	0.647	327.5	48.38	0.0	0.95
chr17-3892	chr17	44599831	44600331	+	86.8	0.731	67.5	25.24	0.0	1.31
chr17-1024	chr17	64407050	64407550	+	86.8	0.581	316.5	39.58	0.0	1.08
chr17-2304	chr17	67980516	67981016	+	86.8	0.775	128.5	6.84	1.2300000000000001e-167	1.14
chr17-1066	chr17	79355564	79356064	+	86.8	0.656	304.5	13.87	1.8500000000000001e-265	1.07
chr18-1327	chr18	34330748	34331248	+	86.8	0.696	166.0	30.77	0.0	1.28
chr18-671	chr18	39491133	39491633	+	86.8	0.624	305.5	20.79	0.0	1.12
chr18-4804	chr18	65169099	65169599	+	86.8	0.671	37.5	55.2	0.0	1.34
chr11-5824	chr11	5788155	5788655	+	86.8	0.712	79.5	18.29	1.33e-305	1.29
chr11-1915	chr11	30267873	30268373	+	86.8	0.603	289.0	23.0	0.0	1.19
chr10-1061	chr10	78569604	78570104	+	86.8	0.698	310.5	15.8	3.01e-284	1.07
chr2-8143	chr2	84772400	84772900	+	86.8	0.781	52.0	25.88	0.0	1.46
chr4-5486	chr4	133967023	133967523	+	86.8	0.789	65.5	34.59	0.0	1.34
chr1-1483	chr1	119390669	119391169	+	86.8	0.737	309.5	19.22	8.31e-313	1.12
chr2-3693	chr2	25193385	25193885	+	86.8	0.754	131.0	10.38	2e-224	1.23
chr9-1263	chr9	35421230	35421730	+	86.8	0.669	305.5	21.3	0.0	1.06
chr2-1549	chr2	166180155	166180655	+	86.8	0.643	322.5	9.4	1.2800000000000001e-210	1.03
chr3-1077	chr3	8084725	8085225	+	86.8	0.766	310.5	174.91	0.0	1.08
chr3-1186	chr3	79995645	79996145	+	86.8	0.767	290.0	34.9	0.0	1.2
chr3-3190	chr3	102471141	102471641	+	86.8	0.683	105.5	6.81	5.05e-167	1.3
chr4-5805	chr4	9067809	9068309	+	86.8	0.694	61.0	25.73	0.0	1.21
chr4-2224	chr4	107495919	107496419	+	86.8	0.614	192.5	32.47	0.0	1.01
chr3-6438	chr3	121576881	121577381	+	86.8	0.714	45.0	4.28	1.82e-108	1.46
chr5-2236	chr5	29887196	29887696	+	86.8	0.753	185.0	18.23	4.49e-305	1.15
chr7-1229	chr7	16273220	16273720	+	86.8	0.627	306.5	6.41	4.4799999999999997e-159	1.13
chr8-1640	chr8	71406585	71407085	+	86.8	0.711	244.5	15.1	1.01e-277	1.36
chr6-1171	chr6	38997769	38998269	+	86.8	0.726	299.5	15.33	6.66e-280	1.2
chr7-1350	chr7	113146511	113147011	+	86.8	0.787	283.0	6.41	4.6e-159	1.23
chr7-2863	chr7	44304747	44305247	+	86.8	0.829	125.5	8.64	4.1799999999999997e-199	1.44
chr8-1200	chr8	69901469	69901969	+	86.8	0.736	325.5	12.41	1.52e-249	1.04
chr6-4541	chr6	134990564	134991064	+	86.8	0.715	67.0	17.13	5.26e-296	1.19
chr6-1118	chr6	122826252	122826752	+	86.8	0.755	314.5	7.83	1.4200000000000002e-185	1.07
chr6-1113	chr6	90561288	90561788	+	86.8	0.71	317.5	37.14	0.0	1.06
chr18-2023	chr18	5464514	5465014	+	86.7	0.722	103.5	65.11	0.0	1.15
chr12-4498	chr12	15407497	15407997	+	86.7	0.862	47.5	83.6	0.0	1.64
chr12-2706	chr12	104951285	104951785	+	86.7	0.674	88.0	15.74	1.0799999999999999e-282	1.31
chr13-911	chr13	110218497	110218997	+	86.7	0.737	318.0	20.07	4.75e-318	1.04
chr14-1823	chr14	13001150	13001650	+	86.7	0.74	127.0	22.91	0.0	1.21
chr14-2187	chr14	117681449	117681949	+	86.7	0.731	102.5	95.25	0.0	1.16
chr15-1288	chr15	42376695	42377195	+	86.7	0.701	315.5	12.66	1.48e-251	1.08
chr16-7253	chr16	87387422	87387922	+	86.7	0.772	23.5	34.5	0.0	1.4
chr17-1038	chr17	57060149	57060649	+	86.7	0.772	311.0	83.1	0.0	1.06
chr11-4851	chr11	35837612	35838112	+	86.7	0.688	101.0	10.96	3.95e-231	1.29
chr18-688	chr18	35854338	35854838	+	86.7	0.768	301.0	4.03	4.28e-101	1.1
chr18-2048	chr18	65794652	65795152	+	86.7	0.704	102.5	13.86	1.74e-264	1.19
chr18-700	chr18	74785424	74785924	+	86.7	0.732	299.0	10.34	4.42e-223	1.13
chr19-784	chr19	55258038	55258538	+	86.7	0.751	296.0	10.44	2.24e-224	1.1
chrX-342	chrX	12005587	12006087	+	86.7	0.664	300.5	29.94	0.0	1.09
chrX-331	chrX	71816500	71817000	+	86.7	0.734	304.0	50.31	0.0	1.09
chrX-340	chrX	152327308	152327808	+	86.7	0.789	301.5	12.23	1.21e-246	1.15
chrX-386	chrX	160765837	160766337	+	86.7	0.748	277.5	93.6	0.0	1.27
chr12-839	chr12	8771108	8771608	+	86.7	0.65	324.0	13.4	1.3700000000000002e-259	1.04
chr9-1447	chr9	99701175	99701675	+	86.7	0.771	273.0	31.05	0.0	1.24
chr10-1153	chr10	79842236	79842736	+	86.7	0.776	290.5	4.8	6.710000000000001e-122	1.18
chr5-1466	chr5	140800274	140800774	+	86.7	0.747	279.0	53.2	0.0	1.21
chr10-1180	chr10	61130876	61131376	+	86.7	0.767	286.0	17.61	5.33e-299	1.24
chr1-1585	chr1	145344347	145344847	+	86.7	0.777	292.0	200.54	0.0	1.19
chr2-1565	chr2	38987194	38987694	+	86.7	0.67	319.5	7.15	7.28e-173	1.05
chr2-1624	chr2	112265320	112265820	+	86.7	0.721	310.5	29.51	0.0	1.09
chr2-1596	chr2	128339377	128339877	+	86.7	0.633	315.0	27.32	0.0	1.07
chr4-4274	chr4	89040837	89041337	+	86.7	0.747	89.0	4.74	1.91e-120	1.27
chr4-1293	chr4	141426937	141427437	+	86.7	0.677	325.5	6.26	2.14e-155	1.09
chr2-2576	chr2	131754955	131755455	+	86.7	0.748	194.5	22.66	0.0	1.07
chr6-1220	chr6	28261723	28262223	+	86.7	0.766	284.5	138.29	0.0	1.21
chr6-3622	chr6	84142500	84143000	+	86.7	0.678	87.5	18.65	2.53e-307	1.21
chr6-1148	chr6	91474297	91474797	+	86.7	0.705	306.5	9.75	5.860000000000001e-215	1.12
chr7-1160	chr7	114480130	114480630	+	86.7	0.685	320.5	97.22	0.0	1.07
chr8-1420	chr8	24430436	24430936	+	86.7	0.765	281.5	25.77	0.0	1.26
chr8-1320	chr8	47673465	47673965	+	86.7	0.748	299.0	11.11	4.16e-233	1.07
chr1-1349	chr1	135020443	135020943	+	86.7	0.688	330.0	4.47	2.33e-113	1.01
chr9-1383	chr9	108479598	108480098	+	86.7	0.689	282.5	14.49	8.33e-271	1.3
chr11-1809	chr11	121790600	121791100	+	86.6	0.736	304.0	46.3	0.0	1.08
chr9-1300	chr9	47545187	47545687	+	86.6	0.736	298.0	18.12	2.53e-303	1.08
chr9-1311	chr9	53610078	53610578	+	86.6	0.765	295.0	59.82	0.0	1.19
chr10-3231	chr10	60578287	60578787	+	86.6	0.656	99.5	27.1	0.0	1.25
chr11-1690	chr11	9010935	9011435	+	86.6	0.727	321.0	110.17	0.0	1.02
chr11-1954	chr11	101095217	101095717	+	86.6	0.761	283.0	8.91	1.3e-202	1.23
chr11-1863	chr11	111961312	111961812	+	86.6	0.611	296.0	63.96	0.0	1.09
chr11-16441	chr11	118667754	118668254	+	86.6	0.651	23.5	28.5	0.0	1.42
chr18-670	chr18	38144560	38145060	+	86.6	0.585	305.5	20.62	2.7e-322	1.12
chr13-1049	chr13	26217281	26217781	+	86.6	0.765	290.0	28.09	0.0	1.17
chr15-4492	chr15	7118810	7119310	+	86.6	0.689	75.5	17.0	4.55e-294	1.22
chr15-3833	chr15	64613482	64613982	+	86.6	0.785	92.0	19.57	1.26e-314	1.35
chr15-1365	chr15	98762943	98763443	+	86.6	0.758	303.0	5.14	2.02e-130	1.1
chr17-1819	chr17	7663909	7664409	+	86.6	0.615	170.0	9.67	6.02e-214	1.09
chr17-2140	chr17	51700836	51701336	+	86.6	0.699	140.5	76.57	0.0	1.15
chr17-1134	chr17	87763163	87763663	+	86.6	0.762	288.0	22.91	0.0	1.2
chr8-6298	chr8	86350049	86350549	+	86.6	0.808	47.5	21.12	0.0	1.7
chr8-8047	chr8	93913254	93913754	+	86.6	0.763	36.5	10.06	2.07e-219	1.51
chr8-8421	chr8	111726065	111726565	+	86.6	0.699	35.0	4.08	1.27e-102	1.63
chr7-1321	chr7	84779414	84779914	+	86.6	0.757	287.5	205.53	0.0	1.22
chr3-5858	chr3	38254777	38255277	+	86.6	0.721	50.0	7.88	5.32e-186	1.65
chr7-1327	chr7	66178009	66178509	+	86.6	0.773	285.5	17.82	6.09e-301	1.21
chr1-5258	chr1	39656877	39657377	+	86.6	0.738	79.5	41.54	0.0	1.16
chr1-1470	chr1	41141875	41142375	+	86.6	0.752	312.0	64.66	0.0	1.04
chr1-1427	chr1	59464797	59465297	+	86.6	0.659	319.5	6.96	1.8300000000000002e-169	1.0
chr1-1544	chr1	150260217	150260717	+	86.6	0.745	299.5	130.17	0.0	1.11
chr2-1738	chr2	27475520	27476020	+	86.6	0.613	291.0	23.84	0.0	1.1
chr2-3164	chr2	145730371	145730871	+	86.6	0.724	156.5	29.06	0.0	1.17
chr1-1573	chr1	138929939	138930439	+	86.6	0.779	294.0	17.43	9.879999999999999e-298	1.15
chr3-2986	chr3	89093124	89093624	+	86.6	0.82	113.0	9.03	1.7499999999999998e-204	1.25
chr5-1367	chr5	72802838	72803338	+	86.6	0.762	297.5	27.54	0.0	1.09
chr3-2530	chr3	126814481	126814981	+	86.6	0.723	135.0	5.75	1.1300000000000001e-144	1.25
chr5-11734	chr5	138622574	138623074	+	86.6	0.76	26.0	22.72	0.0	1.41
chr5-1222	chr5	124963691	124964191	+	86.6	0.702	325.5	21.65	0.0	1.07
chr6-1229	chr6	55432074	55432574	+	86.6	0.774	283.5	36.67	0.0	1.19
chr5-4498	chr5	36530329	36530829	+	86.6	0.765	79.5	38.43	0.0	1.57
chr4-2085	chr4	124802219	124802719	+	86.6	0.737	205.5	27.92	0.0	1.34
chr13-3305	chr13	117127155	117127655	+	86.5	0.745	89.5	38.72	0.0	1.24
chr10-9052	chr10	24595180	24595680	+	86.5	0.68	30.0	11.21	9.93e-234	1.57
chr10-1102	chr10	37335076	37335576	+	86.5	0.706	302.5	26.25	0.0	1.12
chr10-1053	chr10	61208043	61208543	+	86.5	0.675	312.0	20.07	3.65e-317	1.08
chr10-4274	chr10	117709910	117710410	+	86.5	0.757	72.5	10.38	4.98e-223	1.34
chr10-5847	chr10	117717544	117718044	+	86.5	0.766	50.0	10.84	5.4999999999999994e-229	1.35
chr11-9168	chr11	75732564	75733064	+	86.5	0.718	45.0	22.83	0.0	1.61
chr12-1781	chr12	89829543	89830043	+	86.5	0.707	149.5	13.02	8.33e-255	1.15
chr13-909	chr13	49492380	49492880	+	86.5	0.669	318.0	57.58	0.0	1.02
chr13-2180	chr13	98132885	98133385	+	86.5	0.8	143.5	60.25	0.0	1.16
chr17-1022	chr17	74294638	74295138	+	86.5	0.726	318.0	18.33	5.97e-304	1.03
chr14-3398	chr14	25693807	25694307	+	86.5	0.736	58.0	8.02	1.34e-187	1.73
chr15-1335	chr15	74752541	74753041	+	86.5	0.685	308.0	19.35	7.03e-312	1.07
chr16-762	chr16	4420282	4420782	+	86.5	0.57	301.0	24.67	0.0	1.06
chr16-756	chr16	33781965	33782465	+	86.5	0.733	302.5	20.32	5.68e-319	1.13
chr17-1075	chr17	3326285	3326785	+	86.5	0.589	302.0	8.54	3.88e-196	1.12
chr17-2093	chr17	26252652	26253152	+	86.5	0.698	143.0	15.93	1.05e-283	1.21
chr17-3871	chr17	27976265	27976765	+	86.5	0.768	68.0	33.3	0.0	1.24
chr17-1123	chr17	45573684	45574184	+	86.5	0.677	290.0	4.11	3.48e-103	1.14
chr9-1913	chr9	76003670	76004170	+	86.5	0.672	205.0	12.63	1.8699999999999997e-250	1.3
chr9-1296	chr9	122950752	122951252	+	86.5	0.74	299.5	126.24	0.0	1.14
chr9-1158	chr9	79680810	79681310	+	86.5	0.648	329.5	86.34	0.0	1.05
chr9-1242	chr9	30985644	30986144	+	86.5	0.735	310.0	71.12	0.0	1.07
chr4-4169	chr4	138077843	138078343	+	86.5	0.793	92.0	79.49	0.0	1.25
chr1-1480	chr1	165763488	165763988	+	86.5	0.734	310.5	64.04	0.0	1.1
chr1-1617	chr1	171150358	171150858	+	86.5	0.78	287.0	64.75	0.0	1.24
chr2-3974	chr2	68259033	68259533	+	86.5	0.732	120.0	62.84	0.0	1.06
chr2-1673	chr2	162931221	162931721	+	86.5	0.655	301.5	35.36	0.0	1.15
chr3-1366	chr3	84403333	84403833	+	86.5	0.809	262.0	39.28	0.0	1.43
chr4-1457	chr4	95474756	95475256	+	86.5	0.757	293.0	33.55	0.0	1.13
chr4-5956	chr4	105640718	105641218	+	86.5	0.801	59.5	54.33	0.0	1.19
chr4-1460	chr4	119989231	119989731	+	86.5	0.746	292.5	25.34	0.0	1.15
chr4-1497	chr4	132345506	132346006	+	86.5	0.605	287.0	11.68	2.11e-239	1.15
chr2-3229	chr2	125293912	125294412	+	86.5	0.679	153.5	7.67	1.08e-181	1.18
chr4-4395	chr4	138493637	138494137	+	86.5	0.772	86.5	92.97	0.0	1.28
chr8-1290	chr8	117256365	117256865	+	86.5	0.722	306.0	47.78	0.0	1.07
chr5-1405	chr5	65965792	65966292	+	86.5	0.759	290.0	63.12	0.0	1.17
chr9-1249	chr9	27256396	27256896	+	86.5	0.779	308.5	40.95	0.0	1.12
chr8-1316	chr8	122848048	122848548	+	86.5	0.728	300.5	10.05	1.99e-218	1.15
chr9-3972	chr9	21367306	21367806	+	86.5	0.632	88.5	17.76	2.33e-299	1.52
chr7-1163	chr7	133757845	133758345	+	86.5	0.746	320.0	39.68	0.0	1.04
chr6-1202	chr6	40325202	40325702	+	86.5	0.749	290.5	155.29	0.0	1.13
chr6-4251	chr6	4488263	4488763	+	86.5	0.783	72.5	17.9	1.54e-300	1.37
chr5-8132	chr5	96834249	96834749	+	86.5	0.797	39.0	65.66	0.0	1.52
chr10-1064	chr10	77430666	77431166	+	86.3	0.776	310.0	12.02	1.17e-243	1.1
chr14-1641	chr14	7998924	7999424	+	86.3	0.731	141.5	31.43	0.0	1.08
chr10-2166	chr10	80104143	80104643	+	86.3	0.809	157.5	5.99	1.66e-149	1.26
chr11-6217	chr11	50439704	50440204	+	86.3	0.675	73.0	22.29	0.0	1.18
chr11-4052	chr11	54155830	54156330	+	86.3	0.815	126.5	43.29	0.0	1.19
chr11-1787	chr11	88204089	88204589	+	86.3	0.668	306.5	6.4	6.35e-158	1.14
chr11-1647	chr11	97937677	97938177	+	86.3	0.659	328.5	19.79	2.22e-315	0.97
chr12-916	chr12	105548888	105549388	+	86.3	0.723	295.5	11.87	7.009999999999999e-242	1.17
chr17-3066	chr17	27764966	27765466	+	86.3	0.688	90.0	10.68	3.62e-227	1.32
chr14-786	chr14	22643395	22643895	+	86.3	0.783	307.5	10.27	1.22e-221	1.11
chr14-822	chr14	64666594	64667094	+	86.3	0.773	295.5	30.5	0.0	1.2
chr15-1477	chr15	37663162	37663662	+	86.3	0.815	280.0	83.54	0.0	1.23
chr15-1407	chr15	55090256	55090756	+	86.3	0.654	294.0	16.87	4.189999999999999e-292	1.16
chr19-778	chr19	3388999	3389499	+	86.3	0.694	299.0	35.35	0.0	1.11
chr19-1420	chr19	48820717	48821217	+	86.3	0.714	161.0	53.75	0.0	1.08
chr9-1514	chr9	106247772	106248272	+	86.3	0.749	262.0	34.01	0.0	1.29
chr10-1089	chr10	51980827	51981327	+	86.3	0.712	305.5	24.0	0.0	1.15
chr9-1323	chr9	105701908	105702408	+	86.3	0.759	293.5	52.15	0.0	1.11
chr3-991	chr3	37844947	37845447	+	86.3	0.624	329.5	69.33	0.0	0.97
chr5-1313	chr5	115631664	115632164	+	86.3	0.719	306.5	10.81	7.78e-229	1.11
chr9-1312	chr9	78601200	78601700	+	86.3	0.715	295.0	8.97	4.3299999999999997e-203	1.13
chr1-1479	chr1	31019293	31019793	+	86.3	0.757	310.5	152.04	0.0	1.08
chr1-1687	chr1	45502843	45503343	+	86.3	0.799	277.0	49.89	0.0	1.24
chr1-1495	chr1	69375336	69375836	+	86.3	0.757	307.5	40.66	0.0	1.07
chr2-6689	chr2	30544947	30545447	+	86.3	0.753	65.5	29.99	0.0	1.21
chr3-2246	chr3	79994145	79994645	+	86.3	0.728	156.0	34.63	0.0	1.08
chr4-2344	chr4	45011776	45012276	+	86.3	0.65	179.5	7.54	1.7200000000000002e-179	1.15
chr5-1467	chr5	35973661	35974161	+	86.3	0.781	278.5	27.14	0.0	1.24
chr5-7833	chr5	123980548	123981048	+	86.3	0.668	41.0	6.44	9.879999999999999e-159	1.5
chr6-1180	chr6	59303028	59303528	+	86.3	0.774	296.5	116.82	0.0	1.16
chr7-1144	chr7	19824109	19824609	+	86.3	0.752	322.5	11.0	3.33e-231	1.06
chr7-1193	chr7	139350522	139351022	+	86.3	0.785	313.0	20.17	3.96e-318	1.08
chr7-1289	chr7	143785577	143786077	+	86.3	0.519	292.0	4.71	2.54e-119	1.18
chr8-3121	chr8	25366040	25366540	+	86.3	0.722	114.0	51.54	0.0	1.15
chr8-1204	chr8	35662828	35663328	+	86.3	0.72	324.0	32.83	0.0	1.0
chr12-4035	chr12	9091834	9092334	+	86.2	0.72	53.5	5.82	3.58e-145	1.26
chr14-825	chr14	30671018	30671518	+	86.2	0.771	294.0	18.74	2.27e-306	1.17
chr13-1082	chr13	110911762	110912262	+	86.2	0.794	282.0	9.85	4.26e-215	1.22
chr13-950	chr13	30792190	30792690	+	86.2	0.754	308.0	16.74	4.78e-290	1.09
chr9-1239	chr9	109832491	109832991	+	86.2	0.671	311.0	55.24	0.0	1.07
chr11-1609	chr11	116387339	116387839	+	86.2	0.655	335.5	50.17	0.0	0.95
chr11-1754	chr11	112071513	112072013	+	86.2	0.669	311.5	70.34	0.0	1.0
chr10-1232	chr10	60262319	60262819	+	86.2	0.789	278.0	12.95	2.68e-253	1.25
chr15-1336	chr15	79141031	79141531	+	86.2	0.739	308.0	20.78	2.2e-321	1.07
chr15-1290	chr15	76948483	76948983	+	86.2	0.689	315.0	20.25	1.4e-317	1.07
chr19-3215	chr19	47890236	47890736	+	86.2	0.687	59.0	4.33	5.620000000000001e-109	1.45
chr15-1375	chr15	91038798	91039298	+	86.2	0.7	301.5	44.33	0.0	1.12
chr16-758	chr16	31200413	31200913	+	86.2	0.576	302.0	15.97	2.97e-283	1.11
chr17-3344	chr17	72955433	72955933	+	86.2	0.73	81.0	6.46	1.53e-158	1.39
chr17-1083	chr17	79285167	79285667	+	86.2	0.726	301.0	20.63	2.64e-320	1.11
chr17-3267	chr17	79715592	79716092	+	86.2	0.705	83.5	8.15	3.2199999999999996e-189	1.49
chr18-706	chr18	88851028	88851528	+	86.2	0.715	296.0	19.81	2.26e-314	1.28
chr19-752	chr19	34550408	34550908	+	86.2	0.741	310.0	29.65	0.0	1.14
chr19-1778	chr19	40429104	40429604	+	86.2	0.724	121.0	37.96	0.0	1.09
chrX-315	chrX	96135107	96135607	+	86.2	0.736	313.0	8.9	3.2400000000000002e-201	1.14
chr10-1195	chr10	21790331	21790831	+	86.2	0.652	284.0	4.84	3.24e-122	1.21
chr11-1718	chr11	117557932	117558432	+	86.2	0.731	317.0	17.25	2.54e-294	1.1
chr8-1418	chr8	121850877	121851377	+	86.2	0.742	282.5	37.53	0.0	1.2
chr4-5045	chr4	135042453	135042953	+	86.2	0.717	72.5	10.15	3.55e-219	1.22
chr7-3518	chr7	141539666	141540166	+	86.2	0.74	98.5	14.79	3.29e-272	1.19
chr2-1782	chr2	148732237	148732737	+	86.2	0.814	284.0	23.47	0.0	1.25
chr3-1238	chr3	31057202	31057702	+	86.2	0.754	283.0	33.0	0.0	1.25
chr3-1126	chr3	57305410	57305910	+	86.2	0.693	302.0	7.69	1.4400000000000002e-181	1.07
chr3-1028	chr3	122729919	122730419	+	86.2	0.68	322.5	30.16	0.0	1.0
chr4-1425	chr4	53228375	53228875	+	86.2	0.67	299.0	16.11	1.93e-284	1.16
chr4-1445	chr4	59218060	59218560	+	86.2	0.79	295.0	9.05	1.67e-203	1.13
chr4-1377	chr4	125127664	125128164	+	86.2	0.652	307.5	7.52	1.58e-178	1.05
chr4-3681	chr4	129268723	129269223	+	86.2	0.723	106.5	4.51	8.62e-114	1.14
chr1-3121	chr1	132341712	132342212	+	86.2	0.772	149.5	7.48	6.67e-178	1.16
